"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-13","56","63","51"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-14","56","67","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-15","58","64","53"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-16","56","68","51"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-17","60","73","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-18","64","77","53"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-19","68","81","56"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-20","67","74","60"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-21","63","71","56"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-22","63","80","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-23","70","85","58"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-24","69","78","61"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-25","67","81","56"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-26","70","82","57"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-27","62","64","56"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-28","58","71","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-29","62","72","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-30","60","66","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-01","58","66","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-02","58","67","55"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-03","60","66","55"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-04","60","71","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-05","63","74","55"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-06","63","72","56"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-07","62","70","56"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-08","62","73","56"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-09","64","72","58"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-10","62","73","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-11","63","70","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-12","62","72","59"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-13","64","76","55"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-14","67","81","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-15","71","84","57"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-16","69","77","58"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-17","65","72","58"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-18","66","80","57"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-19","72","84","59"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-20","74","87","62"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-21","72","81","62"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-22","66","73","59"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-23","63","69","58"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-24","62","72","56"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-25","65","78","56"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-26","71","88","59"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-27","77","94","63"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-28","72","81","58"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-29","69","86","56"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-30","74","90","61"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-07-31","74","83","60"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-01","65","76","58"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-02","68","82","57"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-03","69","82","60"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-04","72","84","61"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-05","71","81","59"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-06","66","73","58"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-07","63","75","58"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-08","62","69","58"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-09","64","77","53"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-10","68","82","56"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-11","66","76","57"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-12","61","71","55"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-13","62","75","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-14","67","81","55"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-15","72","88","61"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-16","77","98","63"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-17","78","88","64"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-18","71","81","61"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-19","69","83","59"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-20","71","80","62"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-21","69","71","60"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-22","65","75","58"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-23","65","77","55"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-24","65","76","56"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-25","65","78","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-26","67","78","57"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-27","67","81","55"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-28","68","78","58"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-29","66","70","55"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-30","61","73","51"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-08-31","61","71","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-01","65","81","56"
