"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-14",,"96","74",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-15",,"96","76",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-16",,"96","68",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-17",,"85","65",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-18",,"90","70",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-19",,"93","74",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-20",,"92","74",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-21",,"93","71",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-22",,"85","70",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-23",,"87","66",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-24",,"82","68",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-25",,"72","66",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-26",,"80","63",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-27",,"87","64",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-28",,"90","64",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-29",,"90","70",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-30",,"89","71",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-01",,"90","68",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-02",,"90","68",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-03",,"88","68",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-04",,"79","62",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-05",,"80","59",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-06",,"87","59",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-07",,"92","65",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-08",,"85","61",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-09",,"85","53",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-10",,"86","53",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-11",,"91","61",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-12",,"91","61",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-13",,"89","60",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-14",,"89","57",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-15",,"89","57",
